preco,condominio,iptu,area,quartos,banheiros,suites,vagas,academia,aceita_animais,acesso_para_deficientes,ar_condicionado,area_de_servico,armario_embutido,armario_na_cozinha,bicicletario,churrasqueira,circuito_de_seguranca,cozinha_americana,elevador,espaco_gourmet,interfone,jardim,lareira,mobiliado,perto_de_shopping,piscina,playground,portao_eletronico,portaria_24h,quadra_poliesportiva,salao_de_festas,salao_de_jogos,seguranca_24h,varanda,latitude,longitude,url
215000.0,300.0,400.0,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS215000-id-2550958669/
190000.0,276.6666666666667,450.0,42.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1586209,-51.1762621,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-42m2-venda-RS190000-id-2539008699/
300000.0,200.0,900.0,66.0,3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1391614,-51.2134843,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-66m2-venda-RS300000-id-2630507698/
214480.0,295.0,330.0,52.0,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-52m2-venda-RS214480-id-2628466779/
229040.0,230.0,109.0,63.0,3,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-63m2-venda-RS229040-id-2629078139/
300000.0,160.0,355.0,69.0,2,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.1569066,-51.1994925,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-69m2-venda-RS300000-id-2641844044/
218090.0,298.0,500.0,52.0,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-52m2-venda-RS218090-id-2591869576/
120000.0,225.0,85.0,39.0,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1337595,-51.198492,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-39m2-venda-RS120000-id-2508665882/
225000.0,250.0,350.0,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS225000-id-2611792383/
200000.0,280.0,343.0,63.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1600217,-51.1974857,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-63m2-venda-RS200000-id-2646493237/
